period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
actual_current,cool_s5_l60_r65_block_cut,2010-02-11,2026-08-07,100000.0000000000,30388831.2266796827,302.8883122668,0.4145066505,96,5.8234977578,377682.2537204861,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s5_l60_r80_step_up,2010-02-11,2026-08-07,100000.0000000000,21084757.3215736151,209.8475732157,0.3834875986,243,14.7407286996,604190.1538243087,-0.5721679526,2021-11-19,2023-01-05,412,2023-12-18,347.0000000000,759.0000000000,759,2021-11-19
actual_current,cool_s5_l60_r80_block_cut,2010-02-11,2026-08-07,100000.0000000000,31267954.5630547702,311.6795456305,0.4169558364,94,5.7021748879,349263.8193152780,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s5_l60_r95_step_up,2010-02-11,2026-08-07,100000.0000000000,26192905.3217688650,260.9290532177,0.4018143184,261,15.8326345291,802708.1470920380,-0.5850956458,2021-11-19,2023-01-05,412,2023-07-17,193.0000000000,605.0000000000,605,2021-11-19
actual_current,cool_s5_l60_r95_block_cut,2010-02-11,2026-08-07,100000.0000000000,32319301.3788771108,322.1930137888,0.4198012813,92,5.5808520179,360019.2979356355,-0.4577021961,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s10_l30_r65_step_up,2010-02-11,2026-08-07,100000.0000000000,36599315.1107369214,364.9931511074,0.4305529860,138,8.3712780269,582646.6894268795,-0.4507759768,2024-12-16,2025-04-28,133,2025-10-27,182.0000000000,315.0000000000,553,2021-11-19
actual_current,cool_s10_l30_r65_block_cut,2010-02-11,2026-08-07,100000.0000000000,29569684.9019713774,294.6968490197,0.4121639034,98,5.9448206278,375419.2156566267,-0.4577021998,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s10_l30_r80_step_up,2010-02-11,2026-08-07,100000.0000000000,33464058.8524517640,333.6405885245,0.4228023097,156,9.4631838565,548216.9124243041,-0.5197739551,2021-11-19,2022-09-30,315,2023-07-13,286.0000000000,601.0000000000,601,2021-11-19
actual_current,cool_s10_l30_r80_block_cut,2010-02-11,2026-08-07,100000.0000000000,30310643.7635251731,302.1064376353,0.4142856129,94,5.7021748879,375756.1338854920,-0.4577022182,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s10_l30_r95_step_up,2010-02-11,2026-08-07,100000.0000000000,22538024.5985132381,224.3802459851,0.3890927728,209,12.6782399103,589597.7577178426,-0.6438610755,2021-11-19,2022-12-28,404,2023-12-19,356.0000000000,760.0000000000,760,2021-11-19
actual_current,cool_s10_l30_r95_block_cut,2010-02-11,2026-08-07,100000.0000000000,31098135.7043110803,309.9813570431,0.4164878150,92,5.5808520179,346552.6381604768,-0.4577022465,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s10_l60_r65_step_up,2010-02-11,2026-08-07,100000.0000000000,36765344.7501192391,366.6534475012,0.4309458169,126,7.6433408072,518726.9392729886,-0.4586756559,2024-12-16,2025-05-06,141,2025-10-27,174.0000000000,315.0000000000,557,2021-11-19
actual_current,cool_s10_l60_r65_block_cut,2010-02-11,2026-08-07,100000.0000000000,30388831.2266796827,302.8883122668,0.4145066505,96,5.8234977578,377682.2537204861,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s10_l60_r80_step_up,2010-02-11,2026-08-07,100000.0000000000,40418383.0847862661,403.1838308479,0.4391922730,173,10.4944282511,755866.5154461446,-0.4651637197,2021-11-19,2022-09-30,315,2023-05-26,238.0000000000,553.0000000000,553,2021-11-19
actual_current,cool_s10_l60_r80_block_cut,2010-02-11,2026-08-07,100000.0000000000,30388831.2266796827,302.8883122668,0.4145066505,96,5.8234977578,377682.2537204861,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,cool_s10_l60_r95_step_up,2010-02-11,2026-08-07,100000.0000000000,46603994.4489216283,465.0399444892,0.4516782731,180,10.9190582960,744501.7469091958,-0.5578461996,2021-11-19,2022-12-28,404,2023-06-12,166.0000000000,570.0000000000,570,2021-11-19
actual_current,cool_s10_l60_r95_block_cut,2010-02-11,2026-08-07,100000.0000000000,32765063.3758322522,326.6506337583,0.4209815581,94,5.7021748879,364492.3975463930,-0.4577023114,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,breadth_return_h20_n2_step_up,2010-02-11,2026-08-07,100000.0000000000,33165497.6814086288,330.6549768141,0.4220290266,178,10.7977354260,587700.3964084134,-0.5755870301,2021-11-19,2022-11-09,355,2023-07-18,251.0000000000,606.0000000000,606,2021-11-19
actual_current,breadth_return_h20_n2_block_cut,2010-02-11,2026-08-07,100000.0000000000,21370125.5765510425,212.7012557655,0.3846163014,88,5.3382062780,251517.0206198863,-0.4832455681,2021-11-19,2022-12-28,404,2023-06-14,168.0000000000,572.0000000000,572,2021-11-19
actual_current,breadth_return_h20_n3_step_up,2010-02-11,2026-08-07,100000.0000000000,36034832.0558040887,359.3483205580,0.4292047662,189,11.4650112108,695068.2759909810,-0.5249906822,2021-11-19,2022-09-30,315,2023-06-14,257.0000000000,572.0000000000,668,2018-01-26
actual_current,breadth_return_h20_n3_block_cut,2010-02-11,2026-08-07,100000.0000000000,27190253.4813366160,270.9025348134,0.4049957206,90,5.4595291480,301534.4573766910,-0.4577019502,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
actual_current,breadth_return_h60_n2_step_up,2010-02-11,2026-08-07,100000.0000000000,24661054.8308549151,245.6105483085,0.3966991187,112,6.7940807175,264968.8978555987,-0.6601401751,2021-11-19,2023-01-05,412,2024-01-19,379.0000000000,791.0000000000,791,2021-11-19
actual_current,breadth_return_h60_n2_block_cut,2010-02-11,2026-08-07,100000.0000000000,27767313.2725363635,276.6731327254,0.4067867538,64,3.8823318386,180215.8287651103,-0.5203413427,2021-11-19,2022-09-30,315,2023-06-15,258.0000000000,573.0000000000,673,2024-07-10
actual_current,breadth_return_h60_n3_step_up,2010-02-11,2026-08-07,100000.0000000000,26248482.1107134409,261.4848211071,0.4019945706,150,9.0992152466,510102.6395356281,-0.5973457541,2021-11-19,2022-09-30,315,2023-12-12,438.0000000000,753.0000000000,753,2021-11-19
actual_current,breadth_return_h60_n3_block_cut,2010-02-11,2026-08-07,100000.0000000000,23615127.2758031189,235.1512727580,0.3930321141,78,4.7315919283,225001.3279064001,-0.4929694429,2021-11-19,2022-09-30,315,2023-06-13,256.0000000000,571.0000000000,673,2024-07-10
actual_current,breadth_price_sma_h20_n2_step_up,2010-02-11,2026-08-07,100000.0000000000,36896879.9276870042,367.9687992769,0.4312558517,186,11.2830269058,692301.4019221561,-0.6318742762,2021-11-19,2022-12-28,404,2023-12-18,355.0000000000,759.0000000000,759,2021-11-19
actual_current,breadth_price_sma_h20_n2_block_cut,2010-02-11,2026-08-07,100000.0000000000,22536944.1573181227,224.3694415732,0.3890887332,84,5.0955605381,237513.9715982974,-0.5246525454,2021-11-19,2022-12-28,404,2023-07-13,197.0000000000,601.0000000000,601,2021-11-19
actual_current,breadth_price_sma_h20_n3_step_up,2010-02-11,2026-08-07,100000.0000000000,35569182.7045603544,354.6918270456,0.4280775854,199,12.0716255605,766255.6186818773,-0.5015261902,2021-11-19,2022-12-28,404,2023-06-12,166.0000000000,570.0000000000,570,2021-11-19
actual_current,breadth_price_sma_h20_n3_block_cut,2010-02-11,2026-08-07,100000.0000000000,24907748.5161211342,248.0774851612,0.3975427056,88,5.3382062780,281110.4885338028,-0.4968505897,2021-11-19,2022-12-28,404,2023-06-15,169.0000000000,573.0000000000,573,2021-11-19
actual_current,breadth_price_sma_h60_n2_step_up,2010-02-11,2026-08-07,100000.0000000000,22945186.5191653296,228.4518651917,0.3906022878,153,9.2811995516,396905.1398751767,-0.6218549445,2021-11-19,2022-09-30,315,2023-12-27,453.0000000000,768.0000000000,768,2021-11-19
actual_current,breadth_price_sma_h60_n2_block_cut,2010-02-11,2026-08-07,100000.0000000000,25529419.4989565387,254.2941949896,0.3996342372,78,4.7315919283,228628.3476663657,-0.4903895458,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,685,2024-07-10
actual_current,breadth_price_sma_h60_n3_step_up,2010-02-11,2026-08-07,100000.0000000000,20304223.4660785496,202.0422346608,0.3803254690,160,9.7058295964,404571.9551768177,-0.5566622706,2021-11-19,2022-12-28,404,2023-07-18,202.0000000000,606.0000000000,664,2024-07-10
actual_current,breadth_price_sma_h60_n3_block_cut,2010-02-11,2026-08-07,100000.0000000000,28932773.5340396017,288.3277353404,0.4102998300,86,5.2168834081,329578.3102432426,-0.4577021578,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,consensus_10_20_60_n2_step_up,2010-02-11,2026-08-07,100000.0000000000,34208809.1081933007,341.0880910819,0.4247033478,202,12.2536098655,672967.7077647252,-0.5913342402,2021-11-19,2022-12-28,404,2023-07-13,197.0000000000,601.0000000000,601,2021-11-19
actual_current,consensus_10_20_60_n2_block_cut,2010-02-11,2026-08-07,100000.0000000000,29727855.6574018970,296.2785565740,0.4126209796,82,4.9742376682,270948.3339051373,-0.4929693772,2021-11-19,2022-09-30,315,2023-06-14,257.0000000000,572.0000000000,572,2021-11-19
actual_current,consensus_10_20_60_n3_step_up,2010-02-11,2026-08-07,100000.0000000000,29004572.3814181834,289.0457238142,0.4105118837,161,9.7664910314,645906.6089950604,-0.5170142364,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
actual_current,consensus_10_20_60_n3_block_cut,2010-02-11,2026-08-07,100000.0000000000,29764212.6481418088,296.6421264814,0.4127257198,90,5.4595291480,326445.5541796834,-0.4577023237,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,consensus_20_60_120_n2_step_up,2010-02-11,2026-08-07,100000.0000000000,25669031.7519430667,255.6903175194,0.4000973608,135,8.1892937220,294385.1702409935,-0.5971260309,2021-11-19,2022-12-28,404,2023-07-18,202.0000000000,606.0000000000,606,2021-11-19
actual_current,consensus_20_60_120_n2_block_cut,2010-02-11,2026-08-07,100000.0000000000,17985980.5106784850,178.8598051068,0.3702112830,65,3.9429932735,133404.1345456783,-0.5203408788,2021-11-19,2022-09-30,315,2023-06-15,258.0000000000,573.0000000000,673,2024-07-10
actual_current,consensus_20_60_120_n3_step_up,2010-02-11,2026-08-07,100000.0000000000,30827001.0497414321,307.2700104974,0.4157355671,151,9.1598766816,608222.8328165474,-0.4993718494,2021-11-19,2022-09-30,315,2023-06-13,256.0000000000,571.0000000000,667,2024-07-10
actual_current,consensus_20_60_120_n3_block_cut,2010-02-11,2026-08-07,100000.0000000000,34670508.0441811532,345.7050804418,0.4258624461,88,5.3382062780,378526.1734329094,-0.4577020935,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,recovery_10_breadth2_cool95,2010-02-11,2026-08-07,100000.0000000000,40079742.6983249336,399.7974269832,0.4384579178,100,6.0661434978,443547.3717678626,-0.4577022630,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
actual_current,recovery_15_breadth2_cool95,2010-02-11,2026-08-07,100000.0000000000,39737220.2146836966,396.3722021468,0.4377091910,100,6.0661434978,440553.2876464440,-0.4577021544,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
2026_ytd,vo,2026-01-02,2026-08-07,100000.0000000000,111342.3013681484,0.1134230137,0.1982181096,8,13.4651612903,449.0394283690,-0.3347786134,2026-01-28,2026-03-30,61,2026-05-06,37.0000000000,98.0000000000,98,2026-01-28
2026_ytd,riskadj_h20_t5_step_up,2026-01-02,2026-08-07,100000.0000000000,126211.8455416092,0.2621184554,0.4796744447,10,16.8314516129,623.0120115942,-0.3347786134,2026-01-28,2026-03-30,61,2026-04-24,25.0000000000,86.0000000000,86,2026-01-28
